competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,color,stem_length,stems_per_unit,unit_price,stem_price,available_units,grower_country,cleaned_name_used,created_at,eta_date
DVFlora,59575,Alstro White Bianca Select,Alstroemeria,Bu,White,,1,5.29,5.29,12,Colombia,Alstro White Bianca Select,2025-06-01,2025-06-10
DVFlora,50852,Alstro White Bounty Select,Alstroemeria,Bu,White,,1,6.49,6.49,10,Colombia,Alstro White Bounty Select,2025-06-01,2025-06-10
DVFlora,20453,Alstro White Himalaya S.S.,Alstroemeria,Bu,White,,1,7.79,7.79,4,Colombia,Alstro White Himalaya S.S.,2025-06-01,2025-06-10
DVFlora,50785,Alstro White Perfection ECU,Alstroemeria,Bu,White,,1,7.49,7.49,16,Ecuador,Alstro White Perfection ECU,2025-06-01,2025-06-10
DVFlora,50982,Alstro White Whistler Select,Alstroemeria,Bu,White,,1,5.39,5.39,5,Colombia,Alstro White Whistler Select,2025-06-01,2025-06-10
DVFlora,57966,Alstro White Whistler,Alstroemeria,Bu,White,,1,7.79,7.79,4,Colombia,Alstro White Whistler,2025-06-01,2025-06-10
DVFlora,47616,Alstro White Winterfell Prem,Alstroemeria,Bu,White,,1,7.09,7.09,5,Colombia,Alstro White Winterfell Prem,2025-06-01,2025-06-10
DVFlora,21344,Mini Carnation Lavender,Carnations-Mini,Bu,Lavender,,1,4.09,4.09,30,Colombia,Mini Carnation Lavender,2025-06-01,2025-06-10
DVFlora,58956,Aster Cream Estelle Solidago,Aster-Spray,Bu,Cream,,1,6.29,6.29,5,Colombia,Aster Cream Estelle Solidago,2025-06-01,2025-06-10
DVFlora,50877,Carnation Bernard,Carnations,Stem,Bicolor,,1,0.59,0.59,50,Colombia,Carnation Bernard,2025-06-01,2025-06-10
DVFlora,20732,Carnation Brt Rendez/Komachi,Carnations,Stem,Bicolor,,1,0.39,0.39,350,Colombia,Carnation Brt Rendez/Komachi,2025-06-01,2025-06-10
